date,home_team,away_team,home_score,away_score
1991-11-16T20:45:00+00:00,China PR , Norway,4,0
1991-11-17T19:45:00+00:00,Denmark , New Zealand,3,0
1991-11-19T15:30:00+00:00,Norway , New Zealand,4,0
1991-11-19T19:45:00+00:00,China PR , Denmark,2,2
1991-11-21T19:45:00+00:00,China PR , New Zealand,4,1
1991-11-21T19:45:00+00:00,Norway , Denmark,2,1
1991-11-17T19:45:00+00:00,Japan , Brazil,0,1
1991-11-17T19:45:00+00:00,Sweden , United States,2,3
1991-11-19T19:45:00+00:00,Japan , Sweden,0,8
1991-11-19T19:45:00+00:00,Brazil , United States,0,5
1991-11-21T15:30:00+00:00,Japan , United States,0,3
1991-11-21T15:30:00+00:00,Brazil , Sweden,0,2
1991-11-17T15:30:00+00:00,Germany , Nigeria,4,0
1991-11-17T19:45:00+00:00,Chinese Taipei , Italy,0,5
1991-11-19T15:30:00+00:00,Italy , Nigeria,1,0
1991-11-19T19:45:00+00:00,Chinese Taipei , Germany,0,3
1991-11-21T19:45:00+00:00,Chinese Taipei , Nigeria,2,0
1991-11-21T19:45:00+00:00,Italy , Germany,0,2
1991-11-24T15:30:00+00:00,Germany , Denmark,2,1  (a.e.t.)
1991-11-24T19:45:00+00:00,China PR , Sweden,0,1
1991-11-24T19:45:00+00:00,Norway , Italy,3,2  (a.e.t.)
1991-11-24T19:45:00+00:00,United States , Chinese Taipei,7,0
1991-11-27T15:30:00+00:00,Sweden , Norway,1,4
1991-11-27T19:45:00+00:00,United States , Germany,5,2
1991-11-29T19:45:00+00:00,Sweden , Germany,4,0
1991-11-30T19:45:00+00:00,United States , Norway,2,1
1999-06-19T15:00:00+00:00,Denmark , United States,0,3
1999-06-20T18:30:00+00:00,North Korea , Nigeria,1,2
1999-06-24T19:00:00+00:00,United States , Nigeria,7,1
1999-06-24T18:00:00+00:00,North Korea , Denmark,3,1
1999-06-27T16:00:00+00:00,Nigeria , Denmark,2,0
1999-06-27T19:00:00+00:00,United States , North Korea,3,0
1999-06-19T17:30:00+00:00,Brazil , Mexico,7,1
1999-06-20T16:00:00+00:00,Italy , Germany,1,1
1999-06-24T17:00:00+00:00,Brazil , Italy,2,0
1999-06-24T20:30:00+00:00,Germany , Mexico,6,0
1999-06-27T13:30:00+00:00,Germany , Brazil,3,3
